id,code,name,capital,gps_lat,gps_lng,registered_voters,is_active,created_at
1,AB,Abia,Umuahia,5.41670000,7.50000000,1842120,1,"2026-07-02 02:08:42"
2,AD,Adamawa,Yola,9.20000000,12.50000000,1314077,1,"2026-07-02 02:08:42"
3,AK,"Akwa Ibom",Uyo,5.00000000,7.83330000,1744622,1,"2026-07-02 02:08:42"
4,AN,Anambra,Awka,6.20000000,7.06670000,2165539,1,"2026-07-02 02:08:42"
5,BA,Bauchi,Bauchi,10.31570000,9.84420000,1941539,1,"2026-07-02 02:08:42"
6,BY,Bayelsa,Yenagoa,4.75000000,6.08330000,924014,1,"2026-07-02 02:08:42"
7,BE,Benue,Makurdi,7.73330000,8.53330000,2085933,1,"2026-07-02 02:08:42"
8,BO,Borno,Maiduguri,11.83330000,13.15000000,1753012,1,"2026-07-02 02:08:42"
9,CR,"Cross River",Calabar,5.33330000,8.35000000,1368493,1,"2026-07-02 02:08:42"
10,DE,Delta,Asaba,6.23330000,6.75000000,2444013,1,"2026-07-02 02:08:42"
11,EB,Ebonyi,Abakaliki,6.33330000,8.10000000,1115388,1,"2026-07-02 02:08:42"
12,ED,Edo,"Benin City",6.33330000,5.61670000,1841809,1,"2026-07-02 02:08:42"
13,EK,Ekiti,"Ado Ekiti",7.63330000,5.21670000,850020,1,"2026-07-02 02:08:42"
14,EN,Enugu,Enugu,6.45000000,7.50000000,1765683,1,"2026-07-02 02:08:42"
15,FC,"Federal Capital Territory",Abuja,9.06670000,7.48330000,1602702,1,"2026-07-02 02:08:42"
16,GO,Gombe,Gombe,10.28330000,11.16670000,1085404,1,"2026-07-02 02:08:42"
17,IM,Imo,Owerri,5.48330000,7.03330000,1816533,1,"2026-07-02 02:08:42"
18,JI,Jigawa,Dutse,11.80000000,9.33330000,2018040,1,"2026-07-02 02:08:42"
19,KD,Kaduna,Kaduna,10.51670000,7.43330000,3505938,1,"2026-07-02 02:08:42"
20,KN,Kano,Kano,12.00000000,8.51670000,4663458,1,"2026-07-02 02:08:42"
21,KT,Katsina,Katsina,12.98330000,7.60000000,2491650,1,"2026-07-02 02:08:42"
22,KE,Kebbi,"Birnin Kebbi",12.45000000,4.20000000,1479704,1,"2026-07-02 02:08:42"
23,KO,Kogi,Lokoja,7.80000000,6.73330000,1457653,1,"2026-07-02 02:08:42"
24,KW,Kwara,Ilorin,8.50000000,4.55000000,1308828,1,"2026-07-02 02:08:42"
25,LA,Lagos,Ikeja,6.52440000,3.37920000,5931571,1,"2026-07-02 02:08:42"
26,NA,Nasarawa,Lafia,8.50000000,8.51670000,1219823,1,"2026-07-02 02:08:42"
27,NI,Niger,Minna,9.60000000,6.55000000,1840223,1,"2026-07-02 02:08:42"
28,OG,Ogun,Abeokuta,7.15000000,3.35000000,1826046,1,"2026-07-02 02:08:42"
29,ON,Ondo,Akure,7.25000000,5.20000000,1606553,1,"2026-07-02 02:08:42"
30,OS,Osun,Osogbo,7.76670000,4.56670000,1370283,1,"2026-07-02 02:08:42"
31,OY,Oyo,Ibadan,7.85000000,3.93330000,2578312,1,"2026-07-02 02:08:42"
32,PL,Plateau,Jos,9.88330000,8.88330000,1854192,1,"2026-07-02 02:08:42"
33,RI,Rivers,"Port Harcourt",4.81670000,7.00000000,2375005,1,"2026-07-02 02:08:42"
34,SO,Sokoto,Sokoto,13.06670000,5.23330000,1560831,1,"2026-07-02 02:08:42"
35,TA,Taraba,Jalingo,8.90000000,11.36670000,1164547,1,"2026-07-02 02:08:42"
36,YO,Yobe,Damaturu,11.73330000,11.96670000,1070612,1,"2026-07-02 02:08:42"
37,ZA,Zamfara,Gusau,12.16670000,6.66670000,1475679,1,"2026-07-02 02:08:42"
